index,title,body,label
21,광고) 여름 특가 항공권,이메일 확인 후 간단한 절차로 경품을 수령하세요.,spam
22,광고) 오늘만 반값 이벤트,회원님의 계정에서 비정상적인 로그인 시도가 감지되었습니다. 아래 링크에서 즉시 확인해주세요.,spam
23,광고) 지금 가입하면 10만원 적립,하루 10분 투자로 200만원 수익을 올릴 수 있습니다.,spam
24,광고) 한정 수량 세일,무료 쿠폰이 곧 만료됩니다. 지금 바로 확인하세요.,spam
25,긴급 보안 경고,하루 10분 투자로 200만원 수익을 올릴 수 있습니다.,spam
26,카드 한도 초과 알림,이메일 확인 후 간단한 절차로 경품을 수령하세요.,spam
27,광고) 여름 특가 항공권,이메일 확인 후 간단한 절차로 경품을 수령하세요.,spam
28,계좌 인증을 완료해주세요,지금 클릭하시면 한정 수량 세일 상품을 만나보실 수 있습니다.,spam
29,비밀번호 재설정 요청,투자 전문가의 추천으로 단기간에 높은 수익을 올릴 수 있는 기회를 잡으세요.,spam
30,카드 한도 초과 알림,지금 클릭하시면 한정 수량 세일 상품을 만나보실 수 있습니다.,spam
31,무료배송 마지막 기회,지금 클릭하시면 한정 수량 세일 상품을 만나보실 수 있습니다.,spam
32,계정 로그인 시도 감지됨,본 메일은 광고성 정보이므로 수신 거부를 원하시면 여기를 클릭하세요.,spam
33,광고) 지금 가입하면 10만원 적립,계좌 보안을 위해 즉시 비밀번호를 재설정하시기 바랍니다.,spam
34,투자 수익률 200% 달성,계좌 보안을 위해 즉시 비밀번호를 재설정하시기 바랍니다.,spam
35,광고) 여름 특가 항공권,투자 전문가의 추천으로 단기간에 높은 수익을 올릴 수 있는 기회를 잡으세요.,spam
36,광고) 오늘만 반값 이벤트,지금 클릭하시면 한정 수량 세일 상품을 만나보실 수 있습니다.,spam
37,광고) 명품 시계 초특가전,귀하께서는 이번 달 행운의 주인공으로 선정되었습니다. 링크를 클릭해 경품을 수령하세요.,spam
38,광고) 보험료 절감 혜택,투자 전문가의 추천으로 단기간에 높은 수익을 올릴 수 있는 기회를 잡으세요.,spam
39,투자 수익률 200% 달성,보험료를 최대 50% 절감할 수 있는 한정 프로모션입니다.,spam
40,계정 로그인 시도 감지됨,본 메일은 광고성 정보이므로 수신 거부를 원하시면 여기를 클릭하세요.,spam
41,광고) 보험료 절감 혜택,투자 전문가의 추천으로 단기간에 높은 수익을 올릴 수 있는 기회를 잡으세요.,spam
42,광고) 해외 직구 할인 종료 임박,회원님의 계정에서 비정상적인 로그인 시도가 감지되었습니다. 아래 링크에서 즉시 확인해주세요.,spam
43,무료배송 마지막 기회,회원님의 계정에서 비정상적인 로그인 시도가 감지되었습니다. 아래 링크에서 즉시 확인해주세요.,spam
44,광고) 해외 직구 할인 종료 임박,무료 쿠폰이 곧 만료됩니다. 지금 바로 확인하세요.,spam
45,광고) 오늘만 반값 이벤트,지금 클릭하시면 한정 수량 세일 상품을 만나보실 수 있습니다.,spam
46,계좌 인증을 완료해주세요,이메일 확인 후 간단한 절차로 경품을 수령하세요.,spam
47,광고) 해외 직구 할인 종료 임박,투자 전문가의 추천으로 단기간에 높은 수익을 올릴 수 있는 기회를 잡으세요.,spam
48,광고) 건강식품 1+1,무료 쿠폰이 곧 만료됩니다. 지금 바로 확인하세요.,spam
49,광고) 지금 가입하면 10만원 적립,귀하께서는 이번 달 행운의 주인공으로 선정되었습니다. 링크를 클릭해 경품을 수령하세요.,spam
50,광고) 오늘만 반값 이벤트,귀하께서는 이번 달 행운의 주인공으로 선정되었습니다. 링크를 클릭해 경품을 수령하세요.,spam
51,무료배송 마지막 기회,하루 10분 투자로 200만원 수익을 올릴 수 있습니다.,spam
52,광고) 보험료 절감 혜택,본 메일은 광고성 정보이므로 수신 거부를 원하시면 여기를 클릭하세요.,spam
53,광고) 노후 대비 자산관리 세미나,무료 쿠폰이 곧 만료됩니다. 지금 바로 확인하세요.,spam
54,광고) 노후 대비 자산관리 세미나,무료 쿠폰이 곧 만료됩니다. 지금 바로 확인하세요.,spam
55,광고) 여름 특가 항공권,투자 전문가의 추천으로 단기간에 높은 수익을 올릴 수 있는 기회를 잡으세요.,spam
56,무료 쿠폰 지급 안내,하루 10분 투자로 200만원 수익을 올릴 수 있습니다.,spam
57,광고) 건강식품 1+1,지금 클릭하시면 한정 수량 세일 상품을 만나보실 수 있습니다.,spam
58,비밀번호 재설정 요청,지금 클릭하시면 한정 수량 세일 상품을 만나보실 수 있습니다.,spam
59,무료 쿠폰 지급 안내,귀하께서는 이번 달 행운의 주인공으로 선정되었습니다. 링크를 클릭해 경품을 수령하세요.,spam
60,광고) 신제품 런칭 기념 이벤트,이메일 확인 후 간단한 절차로 경품을 수령하세요.,spam
61,긴급 보안 경고,무료 쿠폰이 곧 만료됩니다. 지금 바로 확인하세요.,spam
62,계정 로그인 시도 감지됨,이메일 확인 후 간단한 절차로 경품을 수령하세요.,spam
63,광고) 지금 가입하면 10만원 적립,하루 10분 투자로 200만원 수익을 올릴 수 있습니다.,spam
64,광고) 오늘만 반값 이벤트,하루 10분 투자로 200만원 수익을 올릴 수 있습니다.,spam
65,당첨을 축하드립니다!,지금 클릭하시면 한정 수량 세일 상품을 만나보실 수 있습니다.,spam
66,광고) 보험료 절감 혜택,본 메일은 광고성 정보이므로 수신 거부를 원하시면 여기를 클릭하세요.,spam
67,광고) 해외 직구 할인 종료 임박,지금 클릭하시면 한정 수량 세일 상품을 만나보실 수 있습니다.,spam
68,카드 한도 초과 알림,무료 쿠폰이 곧 만료됩니다. 지금 바로 확인하세요.,spam
69,투자 수익률 200% 달성,보험료를 최대 50% 절감할 수 있는 한정 프로모션입니다.,spam
70,당첨을 축하드립니다!,본 메일은 광고성 정보이므로 수신 거부를 원하시면 여기를 클릭하세요.,spam
71,광고) 다이어트 식단 무료 체험,귀하께서는 이번 달 행운의 주인공으로 선정되었습니다. 링크를 클릭해 경품을 수령하세요.,spam
72,광고) 다이어트 식단 무료 체험,지금 클릭하시면 한정 수량 세일 상품을 만나보실 수 있습니다.,spam
73,카드 한도 초과 알림,하루 10분 투자로 200만원 수익을 올릴 수 있습니다.,spam
74,광고) 명품 시계 초특가전,투자 전문가의 추천으로 단기간에 높은 수익을 올릴 수 있는 기회를 잡으세요.,spam
75,무료 쿠폰 지급 안내,계좌 보안을 위해 즉시 비밀번호를 재설정하시기 바랍니다.,spam
76,투자 수익률 200% 달성,하루 10분 투자로 200만원 수익을 올릴 수 있습니다.,spam
77,광고) 다이어트 식단 무료 체험,회원님의 계정에서 비정상적인 로그인 시도가 감지되었습니다. 아래 링크에서 즉시 확인해주세요.,spam
78,광고) 명품 시계 초특가전,계좌 보안을 위해 즉시 비밀번호를 재설정하시기 바랍니다.,spam
79,광고) 건강식품 1+1,회원님의 계정에서 비정상적인 로그인 시도가 감지되었습니다. 아래 링크에서 즉시 확인해주세요.,spam
80,광고) 한정 수량 세일,계좌 보안을 위해 즉시 비밀번호를 재설정하시기 바랍니다.,spam
81,카드 한도 초과 알림,투자 전문가의 추천으로 단기간에 높은 수익을 올릴 수 있는 기회를 잡으세요.,spam
82,비밀번호 재설정 요청,투자 전문가의 추천으로 단기간에 높은 수익을 올릴 수 있는 기회를 잡으세요.,spam
83,광고) 노후 대비 자산관리 세미나,지금 클릭하시면 한정 수량 세일 상품을 만나보실 수 있습니다.,spam
84,긴급 보안 경고,보험료를 최대 50% 절감할 수 있는 한정 프로모션입니다.,spam
85,긴급 보안 경고,하루 10분 투자로 200만원 수익을 올릴 수 있습니다.,spam
86,무료 쿠폰 지급 안내,귀하께서는 이번 달 행운의 주인공으로 선정되었습니다. 링크를 클릭해 경품을 수령하세요.,spam
87,광고) 건강식품 1+1,하루 10분 투자로 200만원 수익을 올릴 수 있습니다.,spam
88,투자 수익률 200% 달성,본 메일은 광고성 정보이므로 수신 거부를 원하시면 여기를 클릭하세요.,spam
89,광고) 다이어트 식단 무료 체험,이메일 확인 후 간단한 절차로 경품을 수령하세요.,spam
90,광고) 신제품 런칭 기념 이벤트,투자 전문가의 추천으로 단기간에 높은 수익을 올릴 수 있는 기회를 잡으세요.,spam
91,광고) 보험료 절감 혜택,투자 전문가의 추천으로 단기간에 높은 수익을 올릴 수 있는 기회를 잡으세요.,spam
92,카드 한도 초과 알림,무료 쿠폰이 곧 만료됩니다. 지금 바로 확인하세요.,spam
93,광고) 여름 특가 항공권,보험료를 최대 50% 절감할 수 있는 한정 프로모션입니다.,spam
94,광고) 다이어트 식단 무료 체험,보험료를 최대 50% 절감할 수 있는 한정 프로모션입니다.,spam
95,광고) 한정 수량 세일,투자 전문가의 추천으로 단기간에 높은 수익을 올릴 수 있는 기회를 잡으세요.,spam
96,무료배송 마지막 기회,지금 클릭하시면 한정 수량 세일 상품을 만나보실 수 있습니다.,spam
97,광고) 해외 직구 할인 종료 임박,회원님의 계정에서 비정상적인 로그인 시도가 감지되었습니다. 아래 링크에서 즉시 확인해주세요.,spam
98,광고) 노후 대비 자산관리 세미나,하루 10분 투자로 200만원 수익을 올릴 수 있습니다.,spam
99,무료배송 마지막 기회,이메일 확인 후 간단한 절차로 경품을 수령하세요.,spam
100,무료배송 마지막 기회,회원님의 계정에서 비정상적인 로그인 시도가 감지되었습니다. 아래 링크에서 즉시 확인해주세요.,spam
101,근로계약서 서명 안내,금주 업무 보고서를 목요일까지 업로드해주세요.,ham
102,사내 보안 점검 일정,근로계약서 서명을 진행해주시기 바랍니다. 전자서명 링크는 사내 메일에서 확인 가능합니다.,ham
103,업무 보고 요청,세미나 참석자 명단을 이번 주 수요일까지 제출 바랍니다.,ham
104,근로계약서 서명 안내,회의실 예약이 완료되었습니다. 일정 변경 시 관리자에게 알려주세요.,ham
105,사내 보안 점검 일정,프로젝트의 진행 상황을 수요일 회의에서 공유드리겠습니다.,ham
106,자료 업로드 요청,휴가 일정 등록은 HR 시스템에서 가능합니다.,ham
107,출장비 정산 안내,사내 동호회에서 신규 회원을 모집하고 있습니다. 많은 참여 바랍니다.,ham
108,사내 공모전 일정 안내,사내 공모전 일정이 공지되었습니다. 많은 참여 바랍니다.,ham
109,자료 업로드 요청,보안 점검이 예정되어 있습니다. 중요 데이터는 반드시 백업해주세요.,ham
110,자료 업로드 요청,신입사원 오리엔테이션이 다음 주 월요일 오전 9시에 진행됩니다.,ham
111,휴가 일정 등록 안내,개인정보 이용 내역에 대한 안내 메일을 확인하시기 바랍니다.,ham
112,개인정보 이용 내역 안내,신입사원 오리엔테이션이 다음 주 월요일 오전 9시에 진행됩니다.,ham
113,교육 일정 안내,신입사원 오리엔테이션이 다음 주 월요일 오전 9시에 진행됩니다.,ham
114,신입사원 오리엔테이션 안내,부서 회식이 다음 주 금요일 오후 6시에 예정되어 있습니다.,ham
115,업무 보고 요청,개인정보 이용 내역에 대한 안내 메일을 확인하시기 바랍니다.,ham
116,업무 보고 요청,지난 회의의 회의록을 공유드립니다.,ham
117,세미나 참석 안내,개인정보 이용 내역에 대한 안내 메일을 확인하시기 바랍니다.,ham
118,사내 보안 점검 일정,휴가 일정 등록은 HR 시스템에서 가능합니다.,ham
119,휴가 일정 등록 안내,출장비 정산 서류를 금요일까지 제출해주세요.,ham
120,부서 회식 일정 안내,사내 동호회에서 신규 회원을 모집하고 있습니다. 많은 참여 바랍니다.,ham
121,신입사원 오리엔테이션 안내,이번 주 주간 업무 계획을 팀 채널에 공유해주세요.,ham
122,프로젝트 진행 상황 보고,부서 회식이 다음 주 금요일 오후 6시에 예정되어 있습니다.,ham
123,사내 보안 점검 일정,근로계약서 서명을 진행해주시기 바랍니다. 전자서명 링크는 사내 메일에서 확인 가능합니다.,ham
124,부서 회식 일정 안내,출장비 정산 서류를 금요일까지 제출해주세요.,ham
125,개인정보 이용 내역 안내,금주 업무 보고서를 목요일까지 업로드해주세요.,ham
126,출장비 정산 안내,이번 주 금요일 오전 10시에 회의실 A에서 정기 회의가 진행됩니다.,ham
127,근로계약서 서명 안내,보안 점검이 예정되어 있습니다. 중요 데이터는 반드시 백업해주세요.,ham
128,주간 업무 공유,신입사원 오리엔테이션이 다음 주 월요일 오전 9시에 진행됩니다.,ham
129,자료 업로드 요청,자료 업로드는 구글 드라이브 팀 폴더를 이용해주세요.,ham
130,휴가 일정 등록 안내,지난 회의의 회의록을 공유드립니다.,ham
131,업무 보고 요청,이번 주 주간 업무 계획을 팀 채널에 공유해주세요.,ham
132,회의록 공유,이번 주 금요일 오전 10시에 회의실 A에서 정기 회의가 진행됩니다.,ham
133,회의록 공유,프로젝트의 진행 상황을 수요일 회의에서 공유드리겠습니다.,ham
134,부서 회식 일정 안내,이번 주 토요일 오전 9시부터 시스템 점검이 예정되어 있습니다.,ham
135,신입사원 오리엔테이션 안내,출장비 정산 서류를 금요일까지 제출해주세요.,ham
136,자료 업로드 요청,사내 동호회에서 신규 회원을 모집하고 있습니다. 많은 참여 바랍니다.,ham
137,휴가 일정 등록 안내,이번 주 토요일 오전 9시부터 시스템 점검이 예정되어 있습니다.,ham
138,휴가 일정 등록 안내,금주 업무 보고서를 목요일까지 업로드해주세요.,ham
139,사내 공모전 일정 안내,출장비 정산 서류를 금요일까지 제출해주세요.,ham
140,업무 보고 요청,세미나 참석자 명단을 이번 주 수요일까지 제출 바랍니다.,ham
141,업무 보고 요청,금주 업무 보고서를 목요일까지 업로드해주세요.,ham
142,사내 공모전 일정 안내,자료 업로드는 구글 드라이브 팀 폴더를 이용해주세요.,ham
143,회의실 예약 완료 안내,회의실 예약이 완료되었습니다. 일정 변경 시 관리자에게 알려주세요.,ham
144,주간 업무 공유,금주 업무 보고서를 목요일까지 업로드해주세요.,ham
145,회의실 예약 완료 안내,근로계약서 서명을 진행해주시기 바랍니다. 전자서명 링크는 사내 메일에서 확인 가능합니다.,ham
146,주간 업무 공유,근로계약서 서명을 진행해주시기 바랍니다. 전자서명 링크는 사내 메일에서 확인 가능합니다.,ham
147,연말 워크숍 안내,근로계약서 서명을 진행해주시기 바랍니다. 전자서명 링크는 사내 메일에서 확인 가능합니다.,ham
148,사내 보안 점검 일정,지난 회의의 회의록을 공유드립니다.,ham
149,개인정보 이용 내역 안내,사내 공모전 일정이 공지되었습니다. 많은 참여 바랍니다.,ham
150,사내 보안 점검 일정,사내 공모전 일정이 공지되었습니다. 많은 참여 바랍니다.,ham
151,연말 워크숍 안내,금주 업무 보고서를 목요일까지 업로드해주세요.,ham
152,연말 워크숍 안내,근로계약서 서명을 진행해주시기 바랍니다. 전자서명 링크는 사내 메일에서 확인 가능합니다.,ham
153,신입사원 오리엔테이션 안내,사내 공모전 일정이 공지되었습니다. 많은 참여 바랍니다.,ham
154,사내 공모전 일정 안내,회의실 예약이 완료되었습니다. 일정 변경 시 관리자에게 알려주세요.,ham
155,세미나 참석 안내,프로젝트의 진행 상황을 수요일 회의에서 공유드리겠습니다.,ham
156,휴가 일정 등록 안내,세미나 참석자 명단을 이번 주 수요일까지 제출 바랍니다.,ham
157,사내 보안 점검 일정,프로젝트의 진행 상황을 수요일 회의에서 공유드리겠습니다.,ham
158,회의록 공유,사내 동호회에서 신규 회원을 모집하고 있습니다. 많은 참여 바랍니다.,ham
159,사내 공지: 시스템 점검 안내,부서 회식이 다음 주 금요일 오후 6시에 예정되어 있습니다.,ham
160,세미나 참석 안내,근로계약서 서명을 진행해주시기 바랍니다. 전자서명 링크는 사내 메일에서 확인 가능합니다.,ham
161,정기 회의 일정 안내,부서 회식이 다음 주 금요일 오후 6시에 예정되어 있습니다.,ham
162,연말 워크숍 안내,사내 공모전 일정이 공지되었습니다. 많은 참여 바랍니다.,ham
163,개인정보 이용 내역 안내,근로계약서 서명을 진행해주시기 바랍니다. 전자서명 링크는 사내 메일에서 확인 가능합니다.,ham
164,출장비 정산 안내,휴가 일정 등록은 HR 시스템에서 가능합니다.,ham
165,회의실 예약 완료 안내,프로젝트의 진행 상황을 수요일 회의에서 공유드리겠습니다.,ham
166,동호회 모집 공지,교육 일정이 업데이트되었습니다. HR 포털에서 확인해주세요.,ham
167,근로계약서 서명 안내,보안 점검이 예정되어 있습니다. 중요 데이터는 반드시 백업해주세요.,ham
168,교육 일정 안내,이번 주 토요일 오전 9시부터 시스템 점검이 예정되어 있습니다.,ham
169,주간 업무 공유,부서 회식이 다음 주 금요일 오후 6시에 예정되어 있습니다.,ham
170,출장비 정산 안내,이번 주 토요일 오전 9시부터 시스템 점검이 예정되어 있습니다.,ham
171,연말 워크숍 안내,회의실 예약이 완료되었습니다. 일정 변경 시 관리자에게 알려주세요.,ham
172,정기 회의 일정 안내,출장비 정산 서류를 금요일까지 제출해주세요.,ham
173,사내 공지: 시스템 점검 안내,개인정보 이용 내역에 대한 안내 메일을 확인하시기 바랍니다.,ham
174,동호회 모집 공지,프로젝트의 진행 상황을 수요일 회의에서 공유드리겠습니다.,ham
175,개인정보 이용 내역 안내,개인정보 이용 내역에 대한 안내 메일을 확인하시기 바랍니다.,ham
176,출장비 정산 안내,사내 동호회에서 신규 회원을 모집하고 있습니다. 많은 참여 바랍니다.,ham
177,프로젝트 진행 상황 보고,이번 주 토요일 오전 9시부터 시스템 점검이 예정되어 있습니다.,ham
178,연말 워크숍 안내,휴가 일정 등록은 HR 시스템에서 가능합니다.,ham
179,세미나 참석 안내,휴가 일정 등록은 HR 시스템에서 가능합니다.,ham
180,프로젝트 진행 상황 보고,회의실 예약이 완료되었습니다. 일정 변경 시 관리자에게 알려주세요.,ham
181,자료 업로드 요청,프로젝트의 진행 상황을 수요일 회의에서 공유드리겠습니다.,ham
182,업무 보고 요청,근로계약서 서명을 진행해주시기 바랍니다. 전자서명 링크는 사내 메일에서 확인 가능합니다.,ham
183,신입사원 오리엔테이션 안내,프로젝트의 진행 상황을 수요일 회의에서 공유드리겠습니다.,ham
184,업무 보고 요청,이번 주 금요일 오전 10시에 회의실 A에서 정기 회의가 진행됩니다.,ham
185,세미나 참석 안내,사내 동호회에서 신규 회원을 모집하고 있습니다. 많은 참여 바랍니다.,ham
186,프로젝트 진행 상황 보고,이번 주 주간 업무 계획을 팀 채널에 공유해주세요.,ham
187,부서 회식 일정 안내,출장비 정산 서류를 금요일까지 제출해주세요.,ham
188,신입사원 오리엔테이션 안내,출장비 정산 서류를 금요일까지 제출해주세요.,ham
189,정기 회의 일정 안내,개인정보 이용 내역에 대한 안내 메일을 확인하시기 바랍니다.,ham
190,근로계약서 서명 안내,사내 동호회에서 신규 회원을 모집하고 있습니다. 많은 참여 바랍니다.,ham
191,출장비 정산 안내,금주 업무 보고서를 목요일까지 업로드해주세요.,ham
192,교육 일정 안내,사내 공모전 일정이 공지되었습니다. 많은 참여 바랍니다.,ham
193,출장비 정산 안내,사내 동호회에서 신규 회원을 모집하고 있습니다. 많은 참여 바랍니다.,ham
194,신입사원 오리엔테이션 안내,사내 동호회에서 신규 회원을 모집하고 있습니다. 많은 참여 바랍니다.,ham
195,업무 보고 요청,이번 주 토요일 오전 9시부터 시스템 점검이 예정되어 있습니다.,ham
196,교육 일정 안내,금주 업무 보고서를 목요일까지 업로드해주세요.,ham
197,교육 일정 안내,휴가 일정 등록은 HR 시스템에서 가능합니다.,ham
198,사내 보안 점검 일정,개인정보 이용 내역에 대한 안내 메일을 확인하시기 바랍니다.,ham
199,교육 일정 안내,출장비 정산 서류를 금요일까지 제출해주세요.,ham
200,신입사원 오리엔테이션 안내,연말 워크숍이 12월 둘째 주에 진행될 예정입니다.,ham
